,percent_time_idle,hourly_wage
1505,12.1344943225,48.5860283661
1506,48.8866396761,33.0877048723
1509,19.7452962274,50.3526343045
1511,15.085693337,46.8295582756
1513,9.10314365575,51.8992742664
1515,5.97243491577,52.0857094577
1516,20.3255291155,45.636641315
1517,18.7564262135,76.3702275276
1521,5.40910647039,59.0519425327
1523,6.64963684264,56.8364911034
1524,21.9178082192,50.6354652811
1527,11.6853954619,50.762203472
1529,8.17096165933,47.4496343657
1530,12.8034728927,52.8965687348
1532,13.9880952381,47.4071674877
1533,13.2486388385,53.7724926466
1535,11.9588141572,54.667552493
1536,5.75635876841,52.2280127406
1537,52.6546967712,23.8128253435
1540,5.68884267168,53.9352657475
1541,22.4899369791,44.6796110788
1544,59.8321780372,27.3393299702
1545,5.84701335476,57.8058301236
1548,43.5169491525,35.4917621274
1550,15.9158746208,50.0094663366
1551,66.2236450653,18.2854963671
1552,10.101010101,36.1949425287
1559,11.5204683867,52.8468365947
1564,62.3036649215,25.8814587471
1566,10.8589273858,59.5817959661
1570,12.4245174064,48.5663592556
1572,5.00658761528,57.3955349598
1573,16.6605297927,49.0994166111
1574,64.4970414201,19.5503244236
1575,47.6595744681,34.3636331621
1577,28.0387826718,44.0050582919
1578,8.16739364056,67.4766834296
1579,21.3689909152,41.9810837164
1583,64.8255280073,18.1204901681
1586,9.71672584505,54.4673983104
1590,13.2883917327,50.6866051381
1594,8.02432324985,57.3403933943
1595,6.97767429902,52.0385802614
1597,18.0218446602,49.6201908269
1600,14.1425822284,49.7246481013
1603,13.2113821138,58.3839865433
1604,9.21052631579,61.1376588022
1605,10.0673746717,48.4785200411
1607,10.666797883,55.4337379926
1611,9.17631864011,56.848495384
1615,14.2238301978,51.1517740406
1618,8.8295687885,52.4562543369
1619,49.4496149667,36.1982852293
1622,33.3233979136,47.8395395447
1623,21.0964808536,87.6359177503
1627,43.5872922489,32.619543442
1631,71.2025316456,43.3218856395
1632,7.70261085123,62.5920264049
1633,40.2067210305,38.6959202059
1635,14.5097945112,54.7448385087
1641,49.3150684932,27.9817288616
1643,52.6327112354,28.4890976767
1644,6.08350278684,60.9099338009
1645,27.2177419355,42.7092130145
1647,10.9334898809,54.9837034338
1652,28.9082324474,45.872939152
1654,44.0,40.6678510345
1656,27.1003744949,46.2300781954
1658,17.10746636,50.8771931289
1663,64.4687106258,28.0329620994
1664,9.60244648318,52.0630686492
1666,6.37543240951,55.1899649895
1667,23.274812259,52.1190344548
1674,18.5551152798,48.541664865
1676,15.2535885167,51.4352984656
1679,23.6593059937,47.4831576821
1680,22.2356993838,46.2709667921
1682,31.1903370349,39.150003023
1684,57.92260085,21.6396730425
1685,33.7505489679,43.0925446368
1687,24.1876436442,45.3032798106
1689,8.92857142857,58.264137931
1693,29.1766389499,41.1068719631
1696,29.3639591722,42.2719469154
